"school_id","filipino_mean","intervention","latitude","longitude"
104408,32.44,0,15.76694444,121.5583333
104409,32.37,0,15.76,121.5645
104410,30.31,1,15.74777778,121.5097222
104411,27.13,1,15.7525,121.5766667
104412,31.25,0,15.74194444,121.5569444
104415,32.29,0,15.8,121.542
104416,27.04,1,15.76,121.5675
104417,27.71,1,15.7561,121.5452
104418,30.08,1,15.75555556,121.5488889
104419,24.75,1,16.23638889,122.1741667
104420,25.15,1,16.2312,122.0244
104421,25.91,1,16.186154,122.029787
104422,29.65,1,16.3034,122.1111
104423,32.48,0,16.27583333,122.1255556
104424,29.76,1,16.2433,122.0626
104425,27.26,1,16.215,122.0611111
104426,29.79,1,16.17305556,122.095
104427,29,1,16.25,122.1391667
104428,25.25,1,16.190634,122.05632
104429,23.11,1,16.12833333,122.0586111
104430,33.37,0,16.27055556,122.1005556
104431,32.49,0,16.3428,122.1772
104432,25.81,1,16.447903,122.19898
104433,24.68,1,16.421,122.1919
104434,35.18,0,16.436048,122.195114
104435,32.67,0,16.39415833,122.2126361
104436,29.87,1,16.394791,122.184763
104437,34.2,0,16.3675,122.2128
104438,30.31,1,16.468636,122.214409
104439,25.5,1,16.3536,122.1414
104440,30.43,1,16.399,122.1041
104441,31.71,0,16.313854,122.170688
104442,36.67,0,16.3611,122.0981
104446,30.8,0,16.0935,121.8172
104447,29.53,1,16.1391,121.8994
104448,29.65,1,16.2172,121.9063
104449,31.16,0,16.1836,121.8958
104450,30.97,0,16.1394,121.8755
104451,34.13,0,15.27194444,121.3552778
104452,33.53,0,15.33277778,121.3725
104453,31.35,0,15.387053,121.38517
104454,27.88,1,15.42055556,121.4527778
104455,34.03,0,15.38722222,121.3930556
104457,27.02,1,15.28861111,121.3769444
104458,27,1,15.24861111,121.3977778
104459,28.06,1,15.31416667,121.3705556
104460,34.88,0,15.38638889,121.405
104461,29.56,1,15.177641,121.387587
104462,30.01,1,15.23222222,121.4066667
104463,28.06,1,15.82722222,121.5244444
104464,23.13,1,16.0187,121.6634
104465,24.57,1,16.1294,121.7612
104466,24.05,1,16.0024,121.6415
104467,25.07,1,15.967921,121.616633
104468,28.33,1,15.947722,121.590535
104469,29,1,16.0763,121.6887
104470,30.49,1,15.84416667,121.5358333
104471,31.9,0,15.9222,121.5634
104472,23.38,1,15.88944444,121.5497222
104473,26.26,1,15.8225,121.5344444
104474,30.2,1,15.81472222,121.5180556
104475,27.7,1,15.83361111,121.5341667
104476,33.21,0,15.817096,121.501692
104477,29.43,1,15.875,121.5455556
104478,33.03,0,15.82527778,121.5144444
104479,30.17,1,15.8591,121.5113
104480,33.71,0,15.83722222,121.5197222
104481,30.17,1,15.847799,121.499575
104482,26.19,1,15.8575,121.4943
104483,31.69,0,15.8685,121.5175
104484,29.81,1,15.77861111,121.5041667
104485,29.8,1,15.79222222,121.5063889
104486,31.67,0,15.785481,121.443214
104487,32.93,0,15.79833333,121.4383333
104488,36.41,0,15.808298,121.505044
104489,33.18,0,15.75305556,121.4219444
104490,24.78,1,15.76166667,121.4605556
104491,29,1,15.765,121.3075
104492,25.28,1,15.76944444,121.4916667
104493,33.62,0,15.81305556,121.4419444
104494,30.63,1,15.758,121.4338
104495,29.82,1,15.75527778,121.4919444
104496,36.07,0,15.805803,121.492515
104497,29.43,1,15.77611111,121.3525
104498,36.78,0,15.77138889,121.4416667
104499,31.11,0,15.79166667,121.4505556
104500,34.61,0,15.7418,121.3886111
104501,34.92,0,15.78916667,121.32
104502,35.47,0,15.83083333,121.4711111
104503,33.89,0,15.8025,121.4633333
104504,36.92,0,15.79694444,121.4763889
104505,34.67,0,15.731445,121.3758
104506,32.08,0,15.77083333,121.4775
104507,29.44,1,15.787657,121.477793
104508,32.1,0,15.78472222,121.3127778
104509,27.08,1,15.77222222,121.4638889
104510,28.5,1,15.7032,121.4148
104511,31.14,0,15.68581,121.332417
104512,28,1,15.76388889,121.4241667
104513,31.2,0,15.7387,121.5212
104514,24.42,1,15.6282,121.5761
